name,theyworkforyou,party,borough,contact,parliamentary_office_email,parliamentary_address,parliamentary_office_phone_number,local_office_address,local_office_phone_number,Twitter,Facebook,Website
Sarah Boyack,https://www.theyworkforyou.com/mp/13956/sarah_boyack,Scottish Labour,Lothian,https://www.parliament.scot/msps/current-and-previous-msps/sarah-boyack,sarah.boyack.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486994,,,,,
Miles Briggs,https://www.theyworkforyou.com/mp/25494/miles_briggs,Scottish Conservative and Unionist Party,Lothian,https://www.parliament.scot/msps/current-and-previous-msps/miles-briggs,Miles.Briggs.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485944,,,@Miles4Lothian,,
Keith Brown,https://www.theyworkforyou.com/mp/13961/keith_brown,Scottish National Party,Clackmannanshire and Dunblane,https://www.parliament.scot/msps/current-and-previous-msps/keith-brown,Keith.Brown.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1259219333,"Unit 4, Townhead Institute, 39 Drysdale Street, Alloa, FK10 1JA",1259219333,,,
Siobhian Brown,https://www.theyworkforyou.com/mp/25986/siobhian_brown,Scottish National Party,Ayr,https://www.parliament.scot/msps/current-and-previous-msps/siobhian-brown,Siobhian.Brown.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485089,"9 Beresford Terrace, Ayr, KA7 2ER",1292810034,@siobhianayr,https://www.facebook.com/SiobhianBrown,
Ariane Burgess,https://www.theyworkforyou.com/mp/25987/ariane_burgess,Scottish Green Party,Highlands and Islands,https://www.parliament.scot/msps/current-and-previous-msps/ariane-burgess,Ariane.Burgess.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486330,,7385930565,@ArianeBurgessHI,https://www.facebook.com/ArianeBurgessHI,
Alexander Burnett,https://www.theyworkforyou.com/mp/25495/alexander_burnett,Scottish Conservative and Unionist Party,Aberdeenshire West,https://www.parliament.scot/msps/current-and-previous-msps/alexander-burnett,Alexander.Burnett.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485642,"8 Castle Street, Huntly, Aberdeenshire, AB54 8BP",,@AJABurnett,https://facebook.com/AlexanderJABurnett,alexanderburnett.com
Stephanie Callaghan,https://www.theyworkforyou.com/mp/25988/stephanie_callaghan,Scottish National Party,Uddingston and Bellshill,https://www.parliament.scot/msps/current-and-previous-msps/stephanie-callaghan,Stephanie.Callaghan.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485493,"40b Grovewood Business Centre, Strathclyde Business Park, Bellshill, ML4 3NQ",1698849888,,,
Donald Cameron,https://www.theyworkforyou.com/mp/25496/donald_cameron,Scottish Conservative and Unionist Party,Highlands and Islands,https://www.parliament.scot/msps/current-and-previous-msps/donald-cameron,Donald.Cameron.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486989,,,@DAJCameron,https://www.facebook.com/DonaldCameronMSP,donaldcameron.org.uk
Jackson Carlaw,https://www.theyworkforyou.com/mp/13967/jackson_carlaw,Scottish Conservative and Unionist Party,Eastwood,https://www.parliament.scot/msps/current-and-previous-msps/jackson-carlaw,Jackson.Carlaw.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486800,"Spiersbridge House, 1 Spiersbridge Way, Thornliebank, G46 8NG",1414656611,@Jackson_Carlaw,https://www.facebook.com/jackson4eastwood,jacksoncarlaw.org.uk
Finlay Carson,https://www.theyworkforyou.com/mp/25497/finlay_carson,Scottish Conservative and Unionist Party,Galloway and West Dumfries,https://www.parliament.scot/msps/current-and-previous-msps/finlay-carson,Finlay.Carson.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485890,"107 King Street, Castle Douglas, DG7 1LZ",1556504991,@fincarson,https://www.facebook.com/FinlayCarsonMSP,finlaycarson.co.uk
Maggie Chapman,https://www.theyworkforyou.com/mp/25989/maggie_chapman,Scottish Green Party,North East Scotland,https://www.parliament.scot/msps/current-and-previous-msps/maggie-chapman,Maggie.Chapman.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486332,"10 Panmure Street, Dundee, DD1 2BW",1382279991,@MaggieChapman,https://www.facebook.com/MaggieChapmanGreen,maggiechapman.scot
Foysol Choudhury,https://www.theyworkforyou.com/mp/25990/foysol_choudhury,Scottish Labour,Lothian,https://www.parliament.scot/msps/current-and-previous-msps/foysol-choudhury,Foysol.Choudhury.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486761,,1313486761,@FoysolChoudhury,https://www.facebook.com/FoysolChoudhuryMSP/,
Katy Clark,https://www.theyworkforyou.com/mp/11963/baroness_katy_clark,Scottish Labour,West Scotland,https://www.parliament.scot/msps/current-and-previous-msps/katy-clark,Katy.Clark.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1294605655,,,@KatySClark,,katyclark.org
Willie Coffey,https://www.theyworkforyou.com/mp/13968/willie_coffey,Scottish National Party,Kilmarnock and Irvine Valley,https://www.parliament.scot/msps/current-and-previous-msps/willie-coffey,Willie.Coffey.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486514,"62 John Finnie Street, Kilmarnock, KA1 1BS",1563537300,,,
Alex Cole-Hamilton,https://www.theyworkforyou.com/mp/25500/alex_cole-hamilton,Scottish Liberal Democrats,Edinburgh Western,https://www.parliament.scot/msps/current-and-previous-msps/alex-colehamilton,Alex.Cole-Hamilton.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485821,"151 St John's Road, Corstorphine, Edinburgh, EH12 7SD",1313341814,@agcolehamilton,https://www.facebook.com/alexcolehamiltonLD/,edinburghlibdems.org
Angela Constance,https://www.theyworkforyou.com/mp/13969/angela_constance,Scottish National Party,Almond Valley,https://www.parliament.scot/msps/current-and-previous-msps/angela-constance,Angela.Constance.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485000,"Unit 4, Ochil House, Beveridge Square, Livingston, West Lothian, EH54 6QF",1506460403,@AConstance23,https://www.facebook.com/angelaconstance21,
Graeme Dey,https://www.theyworkforyou.com/mp/25081/graeme_dey,Scottish National Party,Angus South,https://www.parliament.scot/msps/current-and-previous-msps/graeme-dey,Graeme.Dey.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485864,"282-284 High Street, Arbroath, DD11 1JF",1241873058,,https://www.facebook.com/GraemeDeyMSP,graemedey.info
Natalie Don,https://www.theyworkforyou.com/mp/25991/natalie_don,Scottish National Party,Renfrewshire North and West,https://www.parliament.scot/msps/current-and-previous-msps/natalie-don,Natalie.Don.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",,"1A Paisley Road, Renfrew, PA4 8JH",1415875049,,,
Bob Doris,https://www.theyworkforyou.com/mp/13977/bob_doris,Scottish National Party,Glasgow Maryhill and Springburn,https://www.parliament.scot/msps/current-and-previous-msps/bob-doris,Bob.Doris.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1419467700,"Maryhill Burgh Halls, 10-24 Gairbraid Avenue, Glasgow, G20 8YE",1419467700,@BobDorisSNP,https://facebook.com/BobDorisSNP,bob-doris.scot
James Dornan,https://www.theyworkforyou.com/mp/25082/james_dornan,Scottish National Party,Glasgow Cathcart,https://www.parliament.scot/msps/current-and-previous-msps/james-dornan,James.Dornan.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485681,"Clincarthill Parish Church, 1220 Cathcart Road, Mount Florida,, Glasgow, G42 9EU",1416325238,@glasgowcathcart,https://www.facebook.com/jamesdornanmsp,
Sharon Dowey,https://www.theyworkforyou.com/mp/25992/sharon_dowey,Scottish Conservative and Unionist Party,South Scotland,https://www.parliament.scot/msps/current-and-previous-msps/sharon-dowey,Sharon.Dowey.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486980,"18 Wellington Square, Ayr, KA7 1EZ",1292839130,@SharonDowey_,https://www.facebook.com/SharonDoweyMSP,
Jackie Dunbar,https://www.theyworkforyou.com/mp/25993/jackie_dunbar,Scottish National Party,Aberdeen Donside,https://www.parliament.scot/msps/current-and-previous-msps/jackie-dunbar,Jackie.Dunbar.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485067,"12a Mastrick Shopping Centre, Greenfern Place, Mastrick, Aberdeen, AB16 6JR",1224011936,,,
Pam Duncan-Glancy,https://www.theyworkforyou.com/mp/25994/pam_duncan-glancy,Scottish Labour,Glasgow,https://www.parliament.scot/msps/current-and-previous-msps/pam-duncanglancy,Pam.Duncan-Glancy.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486389,"Brunswick House, 51 Wilson Street, Glasgow, G1 1UZ",1412606091,@GlasgowPam,https://www.facebook.com/glasgowpam,glasgowpam.scot
Annabelle Ewing,https://www.theyworkforyou.com/mp/25085/annabelle_ewing,Scottish National Party,Cowdenbeath,https://www.parliament.scot/msps/current-and-previous-msps/annabelle-ewing,Annabelle.Ewing.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486290,"Cowdenbeath Constituency Office, 253-257 High Street, Cowdenbeath, KY4 9QF",1383611067,,,
Fergus Ewing,https://www.theyworkforyou.com/mp/13980/fergus_ewing,Scottish National Party,Inverness and Nairn,https://www.parliament.scot/msps/current-and-previous-msps/fergus-ewing,Fergus.Ewing.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1463713004,"112 Church Street, Inverness, Highland, IV1 1EP",1463713004,@FergusEwingSNP,https://www.facebook.com/FergusEwingSNP/,
Jim Fairlie,https://www.theyworkforyou.com/mp/25995/jim_fairlie,Scottish National Party,Perthshire South and Kinross-shire,https://www.parliament.scot/msps/current-and-previous-msps/jim-fairlie,Jim.Fairlie.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1738620540,"63 Glasgow Rd, Perth, PH2 0PE",1738620540,@JimFairlieLogie,https://www.facebook.com/JimFairlieSNP/,
Russell Findlay,https://www.theyworkforyou.com/mp/25996/russell_findlay,Scottish Conservative and Unionist Party,West Scotland,https://www.parliament.scot/msps/current-and-previous-msps/russell-findlay,Russell.Findlay.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486975,,,,,
Joe FitzPatrick,https://www.theyworkforyou.com/mp/13987/joe_fitzpatrick,Scottish National Party,Dundee City West,https://www.parliament.scot/msps/current-and-previous-msps/joe-fitzpatrick,Joe.Fitzpatrick.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1382843244,"37 Dock Street, Dundee, DD1 3DR",1382843244,@joefitzsnp,https://www.facebook.com/JoeFitzPatrickSNP/,joe.fitzpatrick.scot
Kate Forbes,https://www.theyworkforyou.com/mp/25504/kate_forbes,Scottish National Party,"Skye, Lochaber and Badenoch",https://www.parliament.scot/msps/current-and-previous-msps/kate-forbes,Kate.Forbes.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",,"12 High Street, Dingwall, IV15 9RU",1349863888,@_kateforbes,https://www.facebook.com/KateForbesMSP,kate-forbes.scot
Murdo Fraser,https://www.theyworkforyou.com/mp/13991/murdo_fraser,Scottish Conservative and Unionist Party,Mid Scotland and Fife,https://www.parliament.scot/msps/current-and-previous-msps/murdo-fraser,Murdo.Fraser.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485293,"The Control Tower, Perth Airport, Scone, PH2 6PL",1738553990,@murdo_fraser,https://facebook.com/MurdoMFraser,murdofraser.uk
Meghan Gallacher,https://www.theyworkforyou.com/mp/25997/meghan_gallacher,Scottish Conservative and Unionist Party,Central Scotland,https://www.parliament.scot/msps/current-and-previous-msps/meghan-gallacher,Meghan.Gallacher.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485633,"Room 36, Airdrie Business Centre, 1 Chapel Lane, Airdrie, ML6 6GX",,@MGallacherMSP,https://www.facebook.com/MeghanGallacherScottishConservativeandUnionist/,
Kenneth Gibson,https://www.theyworkforyou.com/mp/13994/kenneth_gibson,Scottish National Party,Cunninghame North,https://www.parliament.scot/msps/current-and-previous-msps/kenneth-gibson,Kenneth.Gibson.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486536,"15 Main Street, Dalry, KA24 5DL",1294833687,,https://www.facebook.com/KennethGibsonSNP/,kennethgibson.org
Jenny Gilruth,https://www.theyworkforyou.com/mp/25506/jenny_gilruth,Scottish National Party,Mid Fife and Glenrothes,https://www.parliament.scot/msps/current-and-previous-msps/jenny-gilruth,Jenny.Gilruth.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",,"12 Commercial Street, Markinch, KY7 6DE",1592764815,@jennygilruth,https://www.facebook.com/JennyGilruthMSP/,
Maurice Golden,https://www.theyworkforyou.com/mp/25507/maurice_golden,Scottish Conservative and Unionist Party,North East Scotland,https://www.parliament.scot/msps/current-and-previous-msps/maurice-golden,Maurice.Golden.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",,"80 Rosemount Place, Aberdeen, AB25 2XN",,@mgoldenmsp,https://www.facebook.com/maurice2win/,mauricegolden.com
Pam Gosal,https://www.theyworkforyou.com/mp/25998/pam_gosal,Scottish Conservative and Unionist Party,West Scotland,https://www.parliament.scot/msps/current-and-previous-msps/pam-gosal,Pam.Gosal.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485950,"Suite F, Exchange House Business Centre, 50 Drymen Road, Bearsden, G62 2RH",,@PamGosalMSP,https://www.facebook.com/PamGosal4WestScotland,pamgosal.org.uk
Mairi Gougeon,https://www.theyworkforyou.com/mp/25503/mairi_gougeon,Scottish National Party,Angus North and Mearns,https://www.parliament.scot/msps/current-and-previous-msps/mairi-gougeon,Mairi.Gougeon.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1356626942,,1356626942,,,
Christine Grahame,https://www.theyworkforyou.com/mp/14000/christine_grahame,Scottish National Party,"Midlothian South, Tweeddale and Lauderdale",https://www.parliament.scot/msps/current-and-previous-msps/christine-grahame,Christine.Grahame.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485729,"6 High Street, Galashiels, TD1 1SD",7976596245,,https://www.facebook.com/ChristineGrahameMSP,christinegrahame.com
Rhoda Grant,https://www.theyworkforyou.com/mp/14001/rhoda_grant,Scottish Labour,Highlands and Islands,https://www.parliament.scot/msps/current-and-previous-msps/rhoda-grant,Rhoda.Grant.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485766,"3 Gordon Terrace, Inverness, IV2 3HD",,@rhodagrant,https://www.facebook.com/RhodaGrantLabour,rhodagrant.org.uk
Neil Gray,https://www.theyworkforyou.com/mp/25293/neil_gray,Scottish National Party,Airdrie and Shotts,https://www.parliament.scot/msps/current-and-previous-msps/neil-gray,Neil.Gray.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1236439630,"Office 9, Airdrie Business Centre,, Chapel Lane, Airdrie, ML6 6GX",1236439630,@neilgraysnp,https://www.facebook.com/NeilGraySNP/,
Jamie Greene,https://www.theyworkforyou.com/mp/25508/jamie_greene,Scottish Conservative and Unionist Party,West Scotland,https://www.parliament.scot/msps/current-and-previous-msps/jamie-greene,Jamie.Greene.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486137,,,,,
Ross Greer,https://www.theyworkforyou.com/mp/25509/ross_greer,Scottish Green Party,West Scotland,https://www.parliament.scot/msps/current-and-previous-msps/ross-greer,Ross.Greer.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486347,,,,,
Mark Griffin,https://www.theyworkforyou.com/mp/25089/mark_griffin,Scottish Labour,Central Scotland,https://www.parliament.scot/msps/current-and-previous-msps/mark-griffin,Mark.Griffin.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486397,,,,,
Dr. Sandesh Gulhane,https://www.theyworkforyou.com/mp/25999/sandesh_gulhane,Scottish Conservative and Unionist Party,Glasgow,https://www.parliament.scot/msps/current-and-previous-msps/dr-sandesh-gulhane,Sandesh.Gulhane.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486162,"1018 Maryhill Road, Glasgow, G20 9TE",1419463335,@sandeshgulhane,,
Jamie Halcro Johnston,https://www.theyworkforyou.com/mp/25715/jamie_halcro_johnston,Scottish Conservative and Unionist Party,Highlands and Islands,https://www.parliament.scot/msps/current-and-previous-msps/jamie-halcro-johnston,Jamie.HalcroJohnston.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486140,,,,,
Rachael Hamilton,https://www.theyworkforyou.com/mp/25510/rachael_hamilton,Scottish Conservative and Unionist Party,"Ettrick, Roxburgh and Berwickshire",https://www.parliament.scot/msps/current-and-previous-msps/rachael-hamilton,Rachael.Hamilton.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486970,"7 Abbey Court, Kelso, TD5 7JA",1573224862,@Rachael2Win,https://www.facebook.com/Rachael2Win,rachaelhamilton.co.uk
Emma Harper,https://www.theyworkforyou.com/mp/25511/emma_harper,Scottish National Party,South Scotland,https://www.parliament.scot/msps/current-and-previous-msps/emma-harper,Emma.Harper.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486965,"Lower and Ground Floor, Holywood Trust Building, Old Assembly Close, Irish Street, Dumfries, DG1 2PH",1387255334,,,
Patrick Harvie,https://www.theyworkforyou.com/mp/14006/patrick_harvie,Scottish Green Party,Glasgow,https://www.parliament.scot/msps/current-and-previous-msps/patrick-harvie,Patrick.Harvie.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",,"Glasgow Collective, 15 East Campbell Street, Glasgow, G1 5DT",,@patrickharvie,https://www.facebook.com/PatrickHarvieMSP,
Clare Haughey,https://www.theyworkforyou.com/mp/25513/clare_haughey,Scottish National Party,Rutherglen,https://www.parliament.scot/msps/current-and-previous-msps/clare-haughey,Clare.Haughey.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",,"85 Main Street, Rutherglen, Glasgow, G73 2JQ",1415615131,@haughey_clare,https://www.facebook.com/ClareHaugheySNP/,
Jamie Hepburn,https://www.theyworkforyou.com/mp/14009/jamie_hepburn,Scottish National Party,Cumbernauld and Kilsyth,https://www.parliament.scot/msps/current-and-previous-msps/jamie-hepburn,Jamie.Hepburn.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1236453969,,,,,
Craig Hoy,https://www.theyworkforyou.com/mp/26000/craig_hoy,Scottish Conservative and Unionist Party,South Scotland,https://www.parliament.scot/msps/current-and-previous-msps/craig-hoy,Craig.Hoy.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486976,"1 High Street, Haddington, EH41 3ES",1620849350,@CraigWHoy1/,https://www.facebook.com/CraigHoyConservative/,craighoy.co.uk
Fiona Hyslop,https://www.theyworkforyou.com/mp/14012/fiona_hyslop,Scottish National Party,Linlithgow,https://www.parliament.scot/msps/current-and-previous-msps/fiona-hyslop,Fiona.Hyslop.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485921,,,,,
Daniel Johnson,https://www.theyworkforyou.com/mp/25514/daniel_johnson,Scottish Labour,Edinburgh Southern,https://www.parliament.scot/msps/current-and-previous-msps/daniel-johnson,Daniel.Johnson.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",,"134 Comiston Road, Edinburgh, EH10 5QN",1315412145,,,
Alison Johnstone,https://www.theyworkforyou.com/mp/25091/alison_johnstone,No Party Affiliation,Lothian,https://www.parliament.scot/msps/current-and-previous-msps/alison-johnstone,Alison.Johnstone.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486362,"MG11, Scottish Parliament, Edinburgh, EH99 1SP",1313486362,,,
Liam Kerr,https://www.theyworkforyou.com/mp/25515/liam_kerr,Scottish Conservative and Unionist Party,North East Scotland,https://www.parliament.scot/msps/current-and-previous-msps/liam-kerr,Liam.Kerr.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486973,"80 Rosemount Place, Aberdeen, AB25 2XN",,@LiamKerrMSP,https://www.facebook.com/liamkerrmsp/,
Stephen Kerr,https://www.theyworkforyou.com/mp/25696/stephen_kerr,Scottish Conservative and Unionist Party,Central Scotland,https://www.parliament.scot/msps/current-and-previous-msps/stephen-kerr,Stephen.Kerr.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485647,"Room 35-36, Airdrie Business Centre, 1 Chapel Lane, Airdrie, ML6 6GX",1236439562,,,
Bill Kidd,https://www.theyworkforyou.com/mp/14024/bill_kidd,Scottish National Party,Glasgow Anniesland,https://www.parliament.scot/msps/current-and-previous-msps/bill-kidd,Bill.Kidd.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486592,,,,,
Monica Lennon,https://www.theyworkforyou.com/mp/25516/monica_lennon,Scottish Labour,Central Scotland,https://www.parliament.scot/msps/current-and-previous-msps/monica-lennon,Monica.Lennon.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486484,,,,,
Richard Leonard,https://www.theyworkforyou.com/mp/25517/richard_leonard,Scottish Labour,Central Scotland,https://www.parliament.scot/msps/current-and-previous-msps/richard-leonard,Richard.Leonard.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486465,,,,,
Richard Lochhead,https://www.theyworkforyou.com/mp/14029/richard_lochhead,Scottish National Party,Moray,https://www.parliament.scot/msps/current-and-previous-msps/richard-lochhead,Richard.Lochhead.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1343545077,"80 South Street, Elgin, Moray, IV30 1JG",1343545077,@richardlochhead,https://www.facebook.com/RichardLochheadMSP,
Douglas Lumsden,https://www.theyworkforyou.com/mp/26001/douglas_lumsden,Scottish Conservative and Unionist Party,North East Scotland,https://www.parliament.scot/msps/current-and-previous-msps/douglas-lumsden,Douglas.Lumsden.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485967,"80 Rosemount Place, Aberdeen, AB25 2XN",,,,
Gordon MacDonald,https://www.theyworkforyou.com/mp/25095/gordon_macdonald,Scottish National Party,Edinburgh Pentlands,https://www.parliament.scot/msps/current-and-previous-msps/gordon-macdonald,Gordon.MacDonald.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485741,"9 Kingsknowe Park, Edinburgh, EH14 2JQ",1314430595,,,
Fulton MacGregor,https://www.theyworkforyou.com/mp/25521/fulton_macgregor,Scottish National Party,Coatbridge and Chryston,https://www.parliament.scot/msps/current-and-previous-msps/fulton-macgregor,Fulton.MacGregor.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485797,"Atrium Business Centre, North Caldeen Road, Coatbridge, ML5 4EF",1236897540,@fultonsnp,https://www.facebook.com/fultonmacgregorsnp/,fultonmacgregor.scot
Gillian Mackay,https://www.theyworkforyou.com/mp/26002/gillian_mackay,Scottish Green Party,Central Scotland,https://www.parliament.scot/msps/current-and-previous-msps/gillian-mackay,Gillian.Mackay.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313486341,,,,,
Rona Mackay,https://www.theyworkforyou.com/mp/25522/rona_mackay,Scottish National Party,Strathkelvin and Bearsden,https://www.parliament.scot/msps/current-and-previous-msps/rona-mackay,Rona.Mackay.msp@parliament.scot,"The Scottish Parliament, EH99 1SP, Edinburgh",1313485789,"Enterprise House, Southbank Business Park, Kirkintilloch, G66 1XQ",1417761561,@RonaMackaySNP,https://www.facebook.com/RonaMackaySNP,ronamackay.scot
